"filename", "language", "JavaScript", "Groovy", "Properties", "Batch", "XML", "Java", "Markdown", "Shell Script", "C", "Makefile", "C++", "JSON", "Objective-C", "comment", "blank", "total"
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/ErrorInfo.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 77
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/LoggingUtils.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 37, 271
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/NavigationRoutesConfig.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 41
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/TimeoutTimer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 55
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/TypeInfo.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 21
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/build.gradle", "Groovy", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/KCombinedChart.java", "Java", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 26, 107
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/KConfig.java", "Java", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 4, 44, 143
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/KDataAdapter.java", "Java", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 9, 28, 89
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/KDataGenerator.java", "Java", 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 10, 87, 371
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/KLineView.java", "Java", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 50, 79, 459
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/android/EBOLIB2ND/ChartLib/src/main/java/com/ebo/kline/listener/CoupleChartGestureListener.java", "Java", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 7, 18, 99
